0 0 0 3/5 9/20 13/20 1/2 4/5 4/5 11/10 17/20 5/4 0
0 0 0 13/17 9/17 113/102 15/17 19/17 65/51 65/34 14/17 53/34 0
0 0 0 7/12 7/24 13/24 5/12 1 7/8 11/12 4/3 5/3 0
0 0 0 5/7 8/21 17/18 16/21 25/21 155/126 23/14 47/42 37/21 0
0 0 0 5/9 4/9 5/9 7/18 8/9 2/3 8/9 19/18 4/3 0
0 0 0 1/2 3/10 1/2 7/20 11/10 4/5 4/5 31/20 9/5 0
0 0 0 4/9 1/3 4/9 5/18 10/9 5/6 2/3 31/18 17/9 0
0 0 0 17/23 19/46 7/23 27/46 25/23 26/23 63/46 24/23 2 0
0 0 0 8/11 17/44 1/4 21/44 1 47/44 15/11 5/4 85/44 0
0 0 0 14/19 6/19 4/19 1/2 22/19 1 43/38 41/38 36/19 0
0 0 0 12/17 9/34 5/34 13/34 18/17 15/17 18/17 41/34 59/34 0
0 0 0 19/23 27/92 13/69 65/138 55/46 67/69 293/276 97/92 124/69 0
0 0 0 9/11 21/88 17/132 47/132 49/44 113/132 257/264 101/88 215/132 0
0 0 0 7/9 2/9 1/6 1/3 23/18 1 7/9 25/18 19/9 0
0 0 0 9/13 2/13 3/26 3/13 15/13 12/13 10/13 21/13 2 0
0 0 0 20/23 19/92 10/69 22/69 59/46 65/69 203/276 119/92 133/69 0
0 0 0 16/19 11/76 11/114 13/57 45/38 97/114 161/228 107/76 100/57 0
0 0 0 4/7 5/14 3/14 13/28 17/14 13/14 29/28 33/28 27/14 0
0 0 0 7/13 4/13 2/13 9/26 14/13 10/13 12/13 16/13 22/13 0
0 0 0 7/12 1/4 1/6 1/3 17/12 1 3/4 13/8 7/3 0
0 0 0 4/9 1/6 1/9 2/9 11/9 5/6 2/3 16/9 19/9 0
0 0 0 6/13 3/13 2/13 4/13 18/13 1 9/13 22/13 31/13 0
0 0 0 1/3 1/6 1/9 2/9 11/9 8/9 2/3 17/9 20/9 0
0 0 0 2/3 13/36 1/4 19/36 17/18 1 47/36 4/3 65/36 0
0 0 0 2/3 4/15 1/6 13/30 1 5/6 31/30 19/15 49/30 0
0 0 0 17/21 3/14 17/126 103/252 15/14 101/126 121/126 25/21 191/126 0
0 0 0 2/3 1/6 1/8 1/4 13/12 5/6 2/3 5/3 11/6 0
0 0 0 5/6 5/36 11/108 55/216 41/36 85/108 35/54 13/9 44/27 0
0 0 0 1/2 7/24 1/6 3/8 1 17/24 7/8 31/24 19/12 0
0 0 0 4/9 1/6 1/9 2/9 10/9 13/18 5/9 16/9 17/9 0
0 0 0 1/3 1/6 1/9 2/9 10/9 7/9 5/9 17/9 2 0
0 0 0 7/8 5/8 1/2 7/16 17/16 35/32 39/32 13/16 7/4 0
0 0 0 5/6 5/9 5/12 11/36 1 19/18 11/9 41/36 7/4 0
0 0 0 11/13 1/2 5/13 4/13 14/13 23/26 23/26 21/26 20/13 0
0 0 0 11/14 3/7 9/28 5/28 1 23/28 6/7 29/28 41/28 0
0 0 0 13/14 85/168 8/21 13/42 8/7 19/21 149/168 131/168 3/2 0
0 0 0 7/8 79/192 29/96 17/96 17/16 79/96 161/192 191/192 45/32 0
0 0 0 13/15 1/3 4/15 1/5 6/5 13/15 3/5 7/6 9/5 0
0 0 0 10/13 4/13 7/26 3/26 14/13 11/13 9/13 35/26 22/13 0
0 0 0 16/17 67/204 13/51 10/51 21/17 29/34 7/12 227/204 29/17 0
0 0 0 7/8 55/192 23/96 11/96 9/8 13/16 125/192 239/192 25/16 0
