0 0 0 6/19 14/19 10/19 16/19 22/19 20/19 47/38 24/19 41/19 42/19 0
0 0 0 10/27 8/9 13/27 55/54 10/9 82/81 65/54 43/27 35/18 143/54 0
0 0 0 5/14 11/14 5/14 6/7 9/7 8/7 19/14 3/2 33/14 17/7 0
0 0 0 2/7 16/21 4/21 4/3 2/7 13/14 5/3 34/21 79/42 39/14 0
0 0 0 8/25 4/5 4/25 34/25 8/25 47/50 97/50 99/50 121/50 78/25 0
0 0 0 1/3 6/7 4/21 55/42 1/2 53/42 9/4 79/28 47/14 11/3 0
0 0 0 1/4 13/20 3/20 6/5 2/5 19/20 8/5 37/20 39/20 113/40 0
0 0 0 6/19 14/19 2/19 23/19 8/19 37/38 35/19 81/38 89/38 3 0
0 0 0 11/32 27/32 5/32 5/4 5/8 43/32 9/4 197/64 223/64 59/16 0
0 0 0 8/25 21/25 1/5 39/25 7/25 143/150 93/50 8/5 91/50 151/50 0
0 0 0 7/25 18/25 4/25 36/25 19/50 143/150 89/50 44/25 46/25 151/50 0
0 0 0 5/17 15/17 4/17 23/17 6/17 15/17 27/17 23/17 28/17 43/17 0
0 0 0 7/25 23/25 1/5 33/25 2/5 43/50 93/50 44/25 113/50 71/25 0
0 0 0 5/17 16/17 9/34 43/34 10/17 77/68 139/68 81/34 201/68 54/17 0
0 0 0 4/17 12/17 3/17 20/17 8/17 15/17 25/17 27/17 29/17 43/17 0
0 0 0 5/19 15/19 2/19 22/19 9/19 16/19 32/19 35/19 40/19 50/19 0
0 0 0 4/13 23/26 5/26 31/26 9/13 31/26 2 34/13 79/26 41/13 0
0 0 0 7/20 1 1/4 33/20 7/20 19/20 15/8 7/5 33/20 29/10 0
0 0 0 2/7 17/21 4/21 31/21 19/42 13/14 73/42 11/7 5/3 20/7 0
0 0 0 2/11 10/11 7/22 27/22 5/11 39/44 15/11 57/44 18/11 51/22 0
0 0 0 1/7 19/21 2/7 8/7 10/21 5/6 59/42 53/42 73/42 15/7 0
0 0 0 5/32 7/8 11/32 35/32 19/32 33/32 101/64 61/32 19/8 159/64 0
0 0 0 3/22 17/22 5/22 12/11 13/22 10/11 14/11 35/22 19/11 105/44 0
0 0 0 2/17 13/17 3/17 1 10/17 29/34 22/17 26/17 30/17 71/34 0
0 0 0 2/13 21/26 7/26 27/26 9/13 14/13 20/13 113/52 129/52 5/2 0
0 0 0 3/28 27/28 2/7 8/7 27/56 19/24 155/112 31/28 269/168 109/56 0
0 0 0 5/41 38/41 27/82 45/41 23/41 77/82 247/164 68/41 521/246 91/41 0
0 0 0 2/21 6/7 1/6 22/21 25/42 52/63 55/42 25/18 104/63 27/14 0
0 0 0 1/8 7/8 1/4 17/16 21/32 95/96 95/64 373/192 215/96 9/4 0
0 0 0 9/19 1 7/19 26/19 23/38 15/19 61/38 23/19 59/38 47/19 0
0 0 0 19/37 42/37 14/37 51/37 63/74 65/74 145/74 63/37 87/37 106/37 0
0 0 0 7/16 31/32 3/8 19/16 29/32 73/64 127/64 37/16 97/32 97/32 0
0 0 0 13/25 27/25 6/25 37/25 37/50 21/25 87/50 38/25 17/10 14/5 0
0 0 0 21/37 45/37 8/37 54/37 65/74 33/37 2 68/37 171/74 107/37 0
0 0 0 14/29 30/29 7/29 36/29 28/29 34/29 59/29 73/29 90/29 89/29 0
0 0 0 10/19 21/19 7/19 31/19 21/38 17/19 36/19 24/19 59/38 53/19 0
0 0 0 13/25 27/25 6/25 43/25 17/25 9/10 2 38/25 83/50 77/25 0
0 0 0 5/17 15/17 8/17 19/17 12/17 15/17 21/17 21/17 28/17 37/17 0
0 0 0 3/11 19/22 5/11 1 19/22 37/44 57/44 14/11 83/44 2 0
0 0 0 7/26 21/26 7/13 25/26 25/26 55/52 75/52 47/26 63/26 59/26 0
0 0 0 2/7 6/7 2/7 23/21 17/21 19/21 26/21 11/7 37/21 50/21 0
0 0 0 7/22 10/11 3/11 23/22 10/11 19/22 29/22 3/2 21/11 45/22 0
0 0 0 7/24 5/6 3/8 1 1 13/12 35/24 2 59/24 55/24 0
0 0 0 5/24 11/12 11/24 25/24 41/48 7/8 65/48 29/24 89/48 23/12 0
0 0 0 7/31 27/31 33/62 1 29/31 63/62 89/62 103/62 141/62 66/31 0
0 0 0 5/22 10/11 1/4 23/22 39/44 39/44 59/44 63/44 41/22 21/11 0
0 0 0 1/4 25/28 5/14 29/28 27/28 29/28 81/56 13/7 129/56 15/7 0
0 0 0 15/26 31/26 7/13 19/13 127/156 23/26 263/156 43/39 227/156 94/39 0
0 0 0 17/29 35/29 17/29 81/58 89/87 26/29 154/87 211/174 154/87 209/87 0
0 0 0 21/34 43/34 13/34 53/34 175/204 31/34 365/204 137/102 317/204 8/3 0
0 0 0 5/8 41/32 13/32 95/64 193/192 59/64 353/192 265/192 341/192 239/96 0
0 0 0 5/8 41/32 17/32 107/64 145/192 59/64 727/384 13/12 263/192 505/192 0
0 0 0 9/14 55/42 8/21 149/84 7/9 13/14 1009/504 79/63 359/252 103/36 0
0 0 0 5/13 27/26 17/26 16/13 23/26 12/13 35/26 31/26 20/13 57/26 0
0 0 0 3/8 23/24 7/12 53/48 47/48 11/12 4/3 19/16 83/48 47/24 0
0 0 0 13/32 17/16 15/32 5/4 29/32 15/16 11/8 45/32 51/32 75/32 0
0 0 0 11/26 27/26 11/26 61/52 1 49/52 73/52 73/52 23/13 53/26 0
0 0 0 2/7 27/28 4/7 61/56 13/14 25/28 37/28 9/8 93/56 51/28 0
0 0 0 9/28 1 23/56 9/8 53/56 51/56 19/14 37/28 47/28 13/7 0
0 0 0 2/7 16/21 4/7 20/21 19/21 13/14 22/21 29/21 79/42 13/6 0
0 0 0 7/22 17/22 6/11 10/11 23/22 41/44 49/44 59/44 89/44 2 0
0 0 0 2/7 5/7 17/28 6/7 15/14 15/14 69/56 101/56 17/7 61/28 0
0 0 0 9/28 23/28 11/28 1 31/28 29/28 31/28 27/14 61/28 145/56 0
0 0 0 3/8 7/8 3/8 1 7/6 49/48 29/24 85/48 107/48 53/24 0
0 0 0 9/28 11/14 13/28 13/14 33/28 8/7 9/7 17/8 145/56 65/28 0
0 0 0 11/32 7/8 23/32 33/32 1 175/192 9/8 41/32 107/64 403/192 0
0 0 0 5/14 6/7 9/14 55/56 61/56 79/84 33/28 9/7 15/8 41/21 0
0 0 0 16/41 39/41 22/41 45/41 45/41 122/123 49/41 68/41 77/41 595/246 0
0 0 0 13/31 30/31 15/31 67/62 36/31 94/93 79/62 50/31 125/62 197/93 0
0 0 0 3/5 4/3 2/15 6/5 4/15 17/15 32/15 7/5 2 46/15 0
0 0 0 5/8 11/8 1/8 5/4 5/16 19/16 37/16 13/8 37/16 53/16 0
0 0 0 7/12 4/3 1/6 7/6 2/3 19/12 21/8 61/24 55/16 95/24 0
0 0 0 1/2 11/10 1/10 1 2/5 11/10 19/10 9/5 2 29/10 0
0 0 0 1/2 11/10 1/10 1 1/2 6/5 21/10 21/10 12/5 16/5 0
0 0 0 8/15 6/5 2/15 16/15 1 9/5 41/15 16/5 4 13/3 0
0 0 0 11/16 3/2 1/8 11/8 1/4 19/16 37/16 43/32 31/16 51/16 0
0 0 0 3/5 13/10 1/10 6/5 2/5 6/5 43/20 9/5 2 31/10 0
0 0 0 1/2 17/14 1/7 15/14 2/7 13/14 25/14 15/14 11/7 5/2 0
0 0 0 9/19 25/19 3/19 22/19 7/19 37/38 77/38 26/19 77/38 53/19 0
0 0 0 11/24 5/4 5/24 25/24 2/3 21/16 107/48 49/24 23/8 13/4 0
0 0 0 2/5 1 1/10 9/10 2/5 9/10 8/5 7/5 8/5 12/5 0
0 0 0 4/11 1 1/11 10/11 6/11 1 20/11 19/11 23/11 30/11 0
0 0 0 3/7 15/14 1/7 13/14 1 11/7 33/14 19/7 7/2 26/7 0
0 0 0 3/5 7/5 2/15 19/15 4/15 1 2 31/30 23/15 8/3 0
0 0 0 1/2 6/5 1/10 11/10 2/5 1 37/20 7/5 8/5 13/5 0
0 0 0 1/3 7/6 2/9 1 4/9 17/18 3/2 13/12 29/18 85/36 0
0 0 0 5/18 10/9 2/9 17/18 4/9 8/9 19/12 13/12 7/4 9/4 0
0 0 0 1/3 9/8 1/4 11/12 5/8 7/6 89/48 79/48 29/12 131/48 0
0 0 0 2/7 15/14 1/7 13/14 4/7 27/28 10/7 10/7 12/7 5/2 0
0 0 0 1/5 4/5 1/10 7/10 3/5 9/10 7/5 7/5 9/5 11/5 0
0 0 0 4/13 12/13 2/13 10/13 12/13 18/13 25/13 29/13 38/13 40/13 0
0 0 0 8/23 36/23 6/23 30/23 12/23 49/46 183/92 24/23 89/46 58/23 0
0 0 0 11/29 43/29 8/29 35/29 19/29 73/58 247/116 44/29 71/29 83/29 0
0 0 0 1/5 9/10 1/10 4/5 7/10 1 31/20 7/5 19/10 23/10 0
0 0 0 4/13 1 2/13 11/13 1 19/13 53/26 29/13 3 41/13 0
0 0 0 13/19 27/19 5/19 24/19 21/38 17/19 73/38 20/19 61/38 51/19 0
0 0 0 23/33 50/33 4/11 4/3 19/22 67/66 145/66 16/11 25/11 3 0
0 0 0 3/5 33/25 8/25 26/25 24/25 67/50 111/50 2 149/50 79/25 0
0 0 0 2/3 25/18 1/6 11/9 25/36 8/9 67/36 25/18 61/36 25/9 0
0 0 0 17/25 36/25 1/5 32/25 49/50 26/25 54/25 42/25 117/50 77/25 0
0 0 0 9/16 19/16 3/16 1 5/4 25/16 19/8 41/16 57/16 29/8 0
0 0 0 13/17 27/17 4/17 25/17 15/34 1 75/34 35/34 53/34 49/17 0
0 0 0 9/13 19/13 2/13 18/13 15/26 1 28/13 18/13 43/26 38/13 0
0 0 0 8/17 21/17 5/17 1 11/17 16/17 25/17 18/17 28/17 40/17 0
0 0 0 5/11 13/11 4/11 10/11 9/11 41/44 69/44 25/22 85/44 49/22 0
0 0 0 11/23 27/23 9/23 20/23 21/23 55/46 83/46 36/23 113/46 59/23 0
0 0 0 8/17 21/17 3/17 1 13/17 16/17 25/17 24/17 30/17 44/17 0
0 0 0 7/16 17/16 3/16 13/16 15/16 15/16 3/2 11/8 2 37/16 0
0 0 0 3/7 1 3/14 11/14 8/7 19/14 13/7 2 20/7 20/7 0
0 0 0 5/11 16/11 9/22 25/22 19/22 49/44 83/44 25/22 93/44 53/22 0
0 0 0 1/2 37/26 11/26 14/13 25/26 67/52 105/52 3/2 131/52 35/13 0
0 0 0 1/3 1 1/6 5/6 1 13/12 13/8 17/12 13/6 7/3 0
0 0 0 3/7 15/14 3/14 6/7 17/14 10/7 55/28 2 41/14 41/14 0
0 0 0 10/13 41/26 5/13 35/26 115/156 25/26 305/156 37/39 227/156 100/39 0
0 0 0 11/15 3/2 1/2 5/4 35/36 59/60 359/180 101/90 163/90 233/90 0
0 0 0 11/14 45/28 2/7 19/14 19/24 27/28 47/24 7/6 251/168 8/3 0
0 0 0 20/27 41/27 1/3 67/54 80/81 1 163/81 104/81 293/162 215/81 0
0 0 0 24/29 49/29 21/58 44/29 56/87 1 739/348 77/87 233/174 463/174 0
0 0 0 23/28 47/28 2/7 3/2 59/84 1 709/336 89/84 227/168 451/168 0
0 0 0 8/13 77/52 5/13 61/52 10/13 53/52 87/52 1 20/13 127/52 0
0 0 0 13/23 29/23 9/23 43/46 20/23 45/46 73/46 1 79/46 49/23 0
0 0 0 9/14 85/56 2/7 67/56 23/28 57/56 95/56 17/14 11/7 145/56 0
0 0 0 3/5 13/10 1/4 37/40 37/40 1 33/20 6/5 7/4 9/4 0
0 0 0 14/25 38/25 2/5 57/50 22/25 28/25 93/50 1 93/50 57/25 0
0 0 0 5/9 4/3 2/9 35/36 11/12 13/12 7/4 7/6 16/9 20/9 0
0 0 0 1/2 13/11 4/11 10/11 10/11 47/44 15/11 14/11 89/44 5/2 0
0 0 0 1/2 12/11 9/22 9/11 23/22 23/22 61/44 27/22 47/22 25/11 0
0 0 0 13/25 28/25 2/5 4/5 27/25 63/50 81/50 8/5 64/25 64/25 0
0 0 0 15/26 17/13 3/13 25/26 31/26 16/13 19/13 25/13 32/13 81/26 0
0 0 0 5/9 7/6 2/9 5/6 11/9 7/6 3/2 29/18 22/9 47/18 0
0 0 0 5/9 7/6 2/9 5/6 4/3 53/36 16/9 37/18 55/18 3 0
0 0 0 20/33 91/66 14/33 23/22 31/33 107/99 101/66 38/33 119/66 5/2 0
0 0 0 15/26 16/13 11/26 47/52 27/26 14/13 79/52 15/13 2 59/26 0
0 0 0 2/3 115/78 4/13 85/78 43/39 277/234 125/78 62/39 27/13 227/78 0
0 0 0 15/23 31/23 6/23 43/46 53/46 27/23 38/23 33/23 50/23 58/23 0
0 0 0 7/10 3/2 1/10 7/5 1/5 11/10 21/10 8/5 9/5 29/10 0
0 0 0 3/4 19/12 1/12 3/2 1/4 7/6 29/12 2 7/3 10/3 0
0 0 0 2/3 40/27 4/27 4/3 5/9 41/27 8/3 80/27 191/54 35/9 0
0 0 0 3/5 13/10 1/10 6/5 3/10 11/10 2 9/5 19/10 29/10 0
0 0 0 7/11 15/11 1/11 14/11 4/11 13/11 25/11 24/11 26/11 36/11 0
0 0 0 7/11 31/22 3/22 14/11 15/22 35/22 59/22 71/22 41/11 4 0
0 0 0 4/5 17/10 1/10 8/5 1/5 6/5 47/20 8/5 9/5 31/10 0
0 0 0 7/10 3/2 1/10 7/5 3/10 6/5 9/4 9/5 19/10 31/10 0
0 0 0 3/5 7/5 1/10 13/10 1/5 9/10 9/5 6/5 7/5 12/5 0
0 0 0 9/17 25/17 2/17 23/17 5/17 31/34 71/34 27/17 69/34 47/17 0
0 0 0 15/28 39/28 5/28 17/14 15/28 69/56 127/56 65/28 81/28 89/28 0
0 0 0 1/2 6/5 1/10 11/10 3/10 9/10 17/10 7/5 3/2 12/5 0
