0 0 0 2/21 4/7 5/14 17/14 1/7 8/21 67/63 20/21 25/21 104/63 50/21 0
0 0 0 4/21 5/7 8/21 11/7 5/21 2/3 26/21 29/21 67/42 13/7 65/21 0
0 0 0 3/19 11/19 3/19 24/19 4/19 10/19 58/57 127/114 58/57 389/228 49/19 0
0 0 0 1/8 9/16 1/8 19/16 3/16 7/16 95/96 103/96 49/48 71/48 73/32 0
0 0 0 1/14 1/2 1/14 29/28 1/7 2/7 25/28 79/84 11/12 19/14 27/14 0
0 0 0 1/5 2/3 1/5 23/15 4/15 2/3 7/6 3/2 23/15 26/15 91/30 0
0 0 0 1/11 4/11 1/11 13/11 2/11 4/11 2/3 10/11 25/33 13/12 17/11 0
0 0 0 1/12 5/12 1/12 7/6 1/6 1/3 53/72 23/24 31/36 41/36 41/24 0
0 0 0 1/13 6/13 1/13 29/26 2/13 4/13 21/26 25/26 71/78 16/13 23/13 0
0 0 0 2/13 7/13 2/13 19/13 3/13 7/13 25/26 107/78 18/13 19/13 67/26 0
0 0 0 5/13 14/13 7/26 14/13 11/26 14/13 109/52 37/26 51/26 13/4 59/13 0
0 0 0 1/4 17/20 3/10 27/20 3/10 17/20 17/10 13/10 31/20 27/10 77/20 0
0 0 0 4/23 14/23 4/23 30/23 5/23 13/23 28/23 157/138 70/69 183/92 67/23 0
0 0 0 1/11 4/11 1/11 13/11 2/11 4/11 15/22 19/22 2/3 45/44 31/22 0
0 0 0 8/29 30/29 13/58 55/58 10/29 27/29 45/29 36/29 51/29 73/29 105/29 0
0 0 0 1/4 15/14 1/4 51/56 9/28 47/56 43/28 67/56 7/4 129/56 47/14 0
0 0 0 2/9 31/27 1/4 43/54 8/27 20/27 14/9 59/54 91/54 61/27 28/9 0
0 0 0 9/34 35/34 5/17 39/34 11/34 29/34 3/2 47/34 63/34 38/17 7/2 0
0 0 0 4/23 20/23 11/46 53/46 6/23 35/46 30/23 26/23 33/23 49/23 143/46 0
0 0 0 1/7 6/7 11/42 47/42 5/21 2/3 26/21 22/21 29/21 13/7 115/42 0
0 0 0 2/19 16/19 5/19 1 4/19 21/38 22/19 17/19 24/19 65/38 45/19 0
0 0 0 4/25 21/25 3/10 7/5 6/25 7/10 31/25 13/10 39/25 93/50 151/50 0
