0 0 4/11 7/22 0 7/22 10/11 91/66 24/11 4/11 29/22 119/66 53/33 0
0 0 11/31 10/31 0 13/62 1 58/31 167/62 29/62 59/62 59/31 49/31 0
0 0 11/30 3/10 0 1/4 14/15 26/15 51/20 5/12 13/12 26/15 31/20 0
0 0 1/3 5/18 0 5/18 5/6 10/9 19/9 1/3 1 14/9 23/18 0
0 0 7/22 3/11 0 2/11 19/22 73/44 29/11 9/22 15/22 20/11 29/22 0
0 0 5/17 4/17 0 3/17 13/17 26/17 44/17 6/17 11/17 28/17 20/17 0
0 0 2/7 3/14 0 3/14 5/7 1 29/14 2/7 5/7 3/2 1 0
0 0 4/11 7/22 0 7/44 1 45/22 97/44 23/44 75/44 43/22 83/44 0
0 0 4/11 7/22 0 9/44 1 45/22 9/4 21/44 83/44 21/11 85/44 0
0 0 2/7 8/21 0 4/21 22/21 37/21 7/3 10/21 37/21 41/21 37/21 0
0 0 2/5 1/4 0 1/8 9/10 71/40 17/8 21/40 47/40 8/5 57/40 0
0 0 4/11 3/11 0 7/44 10/11 39/22 97/44 21/44 61/44 35/22 67/44 0
0 0 5/18 1/3 0 1/6 17/18 25/18 13/6 4/9 4/3 29/18 4/3 0
0 0 5/16 1/4 0 1/16 13/16 49/32 33/16 1/2 7/8 3/2 9/8 0
0 0 2/7 3/14 0 1/14 5/7 10/7 2 3/7 6/7 19/14 1 0
0 0 5/18 5/18 0 1/9 5/6 23/18 7/3 4/9 10/9 5/3 19/18 0
0 0 5/12 5/12 0 1/3 13/12 215/144 29/12 7/12 3/4 71/36 229/144 0
0 0 7/15 2/5 0 2/5 1 52/45 11/5 8/15 4/5 16/9 67/45 0
0 0 7/15 2/5 0 2/5 1 46/45 11/5 8/15 4/5 16/9 64/45 0
0 0 11/29 12/29 0 8/29 33/29 53/29 3 18/29 20/29 60/29 47/29 0
0 0 9/23 9/23 0 7/23 24/23 38/23 67/23 13/23 16/23 43/23 3/2 0
0 0 3/7 5/14 0 5/14 13/14 13/14 15/7 1/2 5/7 23/14 9/7 0
0 0 5/13 9/26 0 7/26 27/26 7/4 38/13 15/26 8/13 2 3/2 0
0 0 7/19 6/19 0 5/19 18/19 31/19 56/19 10/19 11/19 35/19 26/19 0
0 0 5/13 4/13 0 4/13 11/13 12/13 28/13 6/13 8/13 21/13 15/13 0
0 0 1/4 3/16 0 1/16 7/8 3/2 5/2 3/8 1/2 13/8 1 0
0 0 3/13 2/13 0 1/13 10/13 18/13 32/13 4/13 6/13 19/13 11/13 0
0 0 3/13 2/13 0 2/13 10/13 1 30/13 3/13 7/13 19/13 9/13 0
0 0 5/16 1/4 0 1/16 7/8 51/32 9/4 1/2 13/16 25/16 17/16 0
0 0 2/7 3/14 0 1/14 11/14 3/2 31/14 3/7 11/14 10/7 13/14 0
0 0 3/11 3/11 0 1/11 1 29/22 32/11 19/44 23/22 21/11 21/22 0
0 0 1/3 2/7 0 4/21 22/21 34/21 59/21 4/7 10/21 13/7 9/7 0
0 0 5/16 1/4 0 3/16 15/16 3/2 45/16 1/2 7/16 27/16 9/8 0
0 0 4/13 3/13 0 3/13 11/13 12/13 30/13 5/13 6/13 20/13 11/13 0
0 0 1/6 29/42 0 1/3 3/2 593/252 51/14 3/7 4/3 179/63 275/126 0
0 0 7/37 24/37 0 14/37 53/37 479/222 126/37 15/37 60/37 290/111 491/222 0
0 0 7/36 23/36 0 7/18 17/12 413/216 61/18 7/18 29/18 281/108 449/216 0
0 0 5/37 26/37 0 10/37 57/37 91/37 158/37 15/37 31/37 104/37 69/37 0
0 0 3/19 25/38 0 6/19 55/38 169/76 149/38 15/38 21/19 48/19 143/76 0
0 0 5/28 17/28 0 5/14 19/14 89/56 47/14 5/14 17/14 65/28 93/56 0
0 0 4/27 17/27 0 8/27 38/27 65/27 115/27 10/27 7/9 76/27 47/27 0
0 0 1/7 4/7 0 2/7 9/7 47/21 86/21 1/3 16/21 18/7 11/7 0
0 0 3/20 11/20 0 3/10 5/4 29/20 67/20 3/10 17/20 23/10 13/10 0
0 0 1/8 11/16 0 1/4 3/2 23/8 53/16 9/16 39/16 47/16 21/8 0
0 0 3/20 13/20 0 3/10 29/20 27/10 13/4 1/2 51/20 27/10 13/5 0
0 0 4/25 16/25 0 8/25 36/25 57/25 81/25 12/25 57/25 13/5 57/25 0
0 0 1/10 7/10 0 1/5 3/2 47/20 17/5 3/5 13/10 12/5 8/5 0
0 0 1/8 5/8 0 1/4 11/8 35/16 51/16 1/2 7/4 35/16 15/8 0
0 0 3/20 3/5 0 3/10 27/20 7/4 31/10 9/20 33/20 43/20 33/20 0
0 0 1/10 3/5 0 1/5 13/10 43/20 16/5 1/2 11/10 11/5 13/10 0
0 0 1/10 1/2 0 1/5 11/10 19/10 29/10 2/5 1 19/10 11/10 0
0 0 1/8 9/16 0 1/4 5/4 3/2 25/8 7/16 19/16 17/8 19/16 0
0 0 3/16 3/4 0 3/8 25/16 199/96 15/4 1/2 13/16 67/24 373/192 0
0 0 5/22 8/11 0 5/11 3/2 227/132 7/2 1/2 10/11 85/33 62/33 0
0 0 5/22 8/11 0 5/11 3/2 197/132 7/2 1/2 10/11 85/33 233/132 0
0 0 5/34 13/17 0 5/17 55/34 83/34 151/34 1/2 12/17 99/34 131/68 0
0 0 5/29 21/29 0 10/29 44/29 127/58 122/29 14/29 22/29 77/29 53/29 0
0 0 4/19 13/19 0 8/19 27/19 53/38 65/19 9/19 16/19 46/19 61/38 0
0 0 4/27 19/27 0 8/27 41/27 65/27 40/9 13/27 2/3 79/27 50/27 0
0 0 3/20 13/20 0 3/10 7/5 9/4 87/20 9/20 13/20 27/10 17/10 0
0 0 3/16 5/8 0 3/8 21/16 11/8 27/8 7/16 3/4 19/8 23/16 0
0 0 1/15 8/15 0 2/15 7/5 21/10 19/5 4/15 8/15 7/3 16/15 0
0 0 1/13 6/13 0 2/13 16/13 25/13 46/13 3/13 7/13 27/13 12/13 0
0 0 2/17 8/17 0 4/17 21/17 23/17 56/17 4/17 12/17 35/17 15/17 0
0 0 1/10 3/5 0 1/5 7/5 9/4 7/2 1/2 1 23/10 6/5 0
0 0 1/10 1/2 0 1/5 6/5 2 16/5 2/5 9/10 2 1 0
0 0 1/9 5/9 0 2/9 25/18 14/9 65/18 4/9 10/9 7/3 10/9 0
0 0 1/16 5/8 0 1/8 3/2 65/32 63/16 7/16 3/8 39/16 5/4 0
0 0 1/13 7/13 0 2/13 17/13 24/13 48/13 5/13 5/13 28/13 14/13 0
0 0 1/7 1/2 0 2/7 17/14 17/14 22/7 5/14 4/7 2 13/14 0
0 0 3/10 9/16 0 3/16 51/40 33/16 253/80 11/40 17/16 189/80 7/4 0
0 0 11/34 35/68 0 15/68 41/34 65/34 203/68 4/17 89/68 149/68 121/68 0
0 0 4/15 8/15 0 7/30 37/30 33/20 46/15 7/30 19/15 34/15 101/60 0
0 0 11/38 43/76 0 11/76 49/38 81/38 273/76 5/19 51/76 173/76 28/19 0
0 0 11/37 39/74 0 13/74 45/37 73/37 251/74 9/37 65/74 155/74 3/2 0
0 0 1/4 1/2 0 5/24 7/6 65/48 3 5/24 11/12 2 21/16 0
0 0 7/26 1/2 0 2/13 15/13 103/52 46/13 3/13 1/2 29/13 33/26 0
0 0 1/4 9/20 0 3/20 21/20 37/20 69/20 1/5 1/2 41/20 23/20 0
0 0 2/9 4/9 0 1/6 19/18 11/9 53/18 1/6 11/18 35/18 1 0
0 0 2/5 19/40 0 1/8 11/10 23/10 101/40 7/20 73/40 17/8 19/10 0
0 0 4/11 21/44 0 7/44 25/22 101/44 117/44 7/22 89/44 93/44 2 0
0 0 6/23 12/23 0 4/23 28/23 2 65/23 8/23 44/23 51/23 43/23 0
0 0 1/2 13/32 0 3/32 15/16 59/32 73/32 5/16 33/32 49/32 9/8 0
0 0 2/5 17/40 0 1/8 1 15/8 99/40 3/10 11/8 13/8 7/5 0
0 0 5/19 9/19 0 3/19 21/19 29/19 50/19 6/19 26/19 34/19 25/19 0
0 0 5/13 5/13 0 1/13 11/13 21/13 29/13 4/13 10/13 19/13 11/13 0
0 0 1/3 1/3 0 1/12 3/4 3/2 13/6 1/4 3/4 4/3 3/4 0
0 0 5/17 7/17 0 2/17 16/17 22/17 44/17 5/17 1 29/17 15/17 0
0 0 2/7 9/14 0 3/14 19/14 97/56 23/7 5/14 1/2 33/14 85/56 0
0 0 1/3 11/18 0 5/18 23/18 49/36 55/18 1/3 5/9 13/6 13/9 0
0 0 1/3 11/18 0 5/18 23/18 43/36 55/18 1/3 5/9 13/6 49/36 0
0 0 1/4 21/32 0 5/32 45/32 133/64 31/8 3/8 7/16 39/16 97/64 0
0 0 7/26 8/13 0 5/26 17/13 97/52 97/26 9/26 6/13 29/13 37/26 0
