0 0 0 1/21 13/21 7/9 185/126 2/7 38/63 64/63 41/63 4/3 110/63 0
0 0 0 1/14 4/7 9/14 8/7 3/14 1/2 1 9/14 15/14 19/14 0
0 0 0 1/13 8/13 11/13 16/13 3/13 7/13 16/13 10/13 17/13 19/13 0
0 0 0 1/13 8/13 7/13 16/13 3/13 7/13 12/13 10/13 1 19/13 0
0 0 0 5/17 8/17 33/34 16/17 29/34 31/34 45/34 33/34 26/17 63/34 0
0 0 0 2/5 7/15 1 4/5 4/5 13/15 22/15 1 22/15 26/15 0
0 0 0 9/17 7/17 39/34 14/17 27/34 29/34 59/34 35/34 55/34 55/34 0
0 0 0 1/5 1/2 4/5 7/10 7/10 4/5 11/10 11/10 11/10 17/10 0
0 0 0 3/14 3/7 19/28 13/14 15/28 17/28 27/28 17/28 15/14 41/28 0
0 0 0 5/16 7/16 3/4 7/8 1/2 9/16 9/8 11/16 1 11/8 0
0 0 0 7/15 2/5 1 9/10 8/15 3/5 23/15 4/5 13/10 4/3 0
0 0 0 1/5 8/15 3/5 14/15 7/15 8/15 13/15 13/15 11/15 23/15 0
0 0 0 5/18 4/9 11/18 5/4 5/9 11/18 1 2/3 11/9 14/9 0
0 0 0 3/8 7/16 5/8 9/8 1/2 9/16 9/8 11/16 9/8 11/8 0
0 0 0 1/2 7/18 8/9 41/36 11/18 2/3 3/2 5/6 25/18 25/18 0
0 0 0 2/11 5/11 4/11 12/11 4/11 5/11 8/11 8/11 8/11 14/11 0
0 0 0 11/21 10/21 41/42 1 53/42 55/42 65/42 19/14 38/21 95/42 0
0 0 0 5/8 3/8 1 3/4 5/4 21/16 27/16 11/8 27/16 2 0
0 0 0 5/7 2/7 29/28 9/14 33/28 5/4 51/28 37/28 7/4 7/4 0
0 0 0 1/2 3/7 6/7 5/7 17/14 9/7 10/7 3/2 10/7 29/14 0
0 0 0 8/17 8/17 25/34 18/17 35/34 37/34 43/34 37/34 25/17 69/34 0
0 0 0 8/15 1/3 11/15 4/5 14/15 1 4/3 1 6/5 8/5 0
0 0 0 7/10 1/5 4/5 13/20 9/10 1 8/5 1 27/20 13/10 0
0 0 0 7/17 8/17 11/17 15/17 15/17 16/17 19/17 20/17 1 31/17 0
0 0 0 1/2 1/2 15/22 71/44 1 23/22 14/11 12/11 18/11 23/11 0
0 0 0 8/15 1/3 3/5 17/15 4/5 13/15 19/15 14/15 19/15 22/15 0
0 0 0 2/3 4/15 11/15 11/10 14/15 1 23/15 16/15 22/15 22/15 0
0 0 0 1/3 1/3 5/12 13/12 2/3 3/4 11/12 11/12 11/12 4/3 0
0 0 0 1/17 14/17 91/102 16/17 13/34 71/102 109/102 40/51 5/4 155/102 0
0 0 0 1/14 11/14 13/14 13/14 5/14 19/28 8/7 6/7 5/4 43/28 0
0 0 0 1/14 11/14 1 1 2/7 4/7 17/14 6/7 37/28 3/2 0
0 0 0 1/15 4/5 14/15 14/15 2/5 11/15 17/15 1 37/30 17/10 0
0 0 0 1/14 11/14 67/84 13/14 9/28 53/84 85/84 53/84 15/14 55/42 0
0 0 0 1/15 4/5 5/6 1 4/15 8/15 31/30 7/10 31/30 41/30 0
0 0 0 1/14 11/14 27/28 15/14 3/14 13/28 33/28 3/4 33/28 19/14 0
0 0 0 1/19 16/19 27/38 20/19 5/19 1/2 33/38 16/19 33/38 59/38 0
0 0 0 1/22 9/11 19/33 13/12 19/66 49/88 115/132 5/8 25/24 83/66 0
0 0 0 1/18 7/9 11/18 10/9 5/18 5/9 35/36 13/18 19/18 23/18 0
0 0 0 1/19 15/19 14/19 22/19 5/19 10/19 41/38 29/38 22/19 25/19 0
0 0 0 1/19 15/19 10/19 22/19 5/19 10/19 33/38 29/38 18/19 25/19 0
0 0 0 1/4 3/4 7/8 5/6 19/24 7/8 29/24 23/24 11/8 13/8 0
0 0 0 1/3 2/3 11/12 3/4 3/4 5/6 4/3 1 4/3 19/12 0
0 0 0 10/19 11/19 22/19 15/19 15/19 16/19 33/19 39/38 29/19 27/19 0
0 0 0 1/5 3/5 4/5 7/10 7/10 4/5 11/10 11/10 11/10 8/5 0
0 0 0 1/5 7/10 13/20 4/5 11/20 13/20 19/20 13/20 1 5/4 0
0 0 0 1/3 2/3 23/30 13/15 8/15 3/5 7/6 23/30 29/30 19/15 0
0 0 0 9/19 23/38 39/38 17/19 11/19 12/19 59/38 16/19 47/38 23/19 0
0 0 0 4/17 12/17 21/34 16/17 8/17 9/17 31/34 15/17 25/34 24/17 0
