0 0 5/24 11/24 0 13/8 17/8 9/8 41/24 5/2 43/12 49/24 11/3 0
0 0 7/26 5/13 0 18/13 47/26 12/13 30/13 32/13 42/13 61/26 93/26 0
0 0 7/33 5/11 0 5/3 70/33 71/66 70/33 185/66 128/33 179/66 131/33 0
0 0 3/11 5/11 0 53/33 7/3 37/33 41/22 86/33 116/33 64/33 130/33 0
0 0 7/26 11/26 0 20/13 31/13 14/13 75/52 5/2 46/13 24/13 15/4 0
0 0 9/32 15/32 0 13/8 9/4 9/8 65/32 87/32 61/16 2 129/32 0
0 0 4/15 7/15 0 49/30 7/3 17/15 26/15 8/3 58/15 59/30 39/10 0
0 0 11/37 15/37 0 57/37 80/37 41/37 147/74 89/37 106/37 83/37 136/37 0
0 0 7/25 2/5 0 38/25 109/50 27/25 33/25 117/50 72/25 21/10 173/50 0
0 0 13/37 13/37 0 50/37 72/37 35/37 78/37 84/37 99/37 86/37 128/37 0
0 0 4/13 9/26 0 35/26 103/52 12/13 73/52 57/26 35/13 111/52 42/13 0
0 0 7/19 7/19 0 53/38 81/38 1 389/228 269/114 111/38 34/19 197/57 0
0 0 1/3 10/27 0 38/27 121/54 1 100/81 383/162 83/27 95/54 553/162 0
0 0 2/9 4/9 0 43/27 58/27 10/9 70/27 22/9 82/27 76/27 100/27 0
0 0 5/22 9/22 0 3/2 47/22 23/22 21/11 25/11 65/22 5/2 73/22 0
0 0 2/9 4/9 0 43/27 2 10/9 80/27 70/27 92/27 80/27 98/27 0
0 0 7/38 1/2 0 69/38 85/38 93/76 50/19 223/76 77/19 121/38 155/38 0
0 0 5/17 7/17 0 53/34 73/34 19/17 83/34 83/34 97/34 91/34 123/34 0
0 0 7/25 2/5 0 38/25 109/50 27/25 9/5 117/50 72/25 62/25 84/25 0
0 0 3/17 7/17 0 55/34 73/34 19/17 33/17 77/34 207/68 73/34 247/68 0
0 0 5/27 10/27 0 41/27 56/27 28/27 25/18 19/9 80/27 52/27 89/27 0
0 0 1/7 1/3 0 31/21 40/21 41/42 27/14 43/21 107/42 46/21 45/14 0
0 0 3/19 6/19 0 27/19 36/19 35/38 24/19 37/19 48/19 36/19 109/38 0
0 0 2/19 8/19 0 32/19 2 22/19 36/19 45/19 127/38 37/19 135/38 0
0 0 3/22 9/22 0 18/11 45/22 49/44 67/44 25/11 36/11 41/22 73/22 0
0 0 1/13 4/13 0 19/13 22/13 25/26 22/13 27/13 67/26 23/13 73/26 0
0 0 2/19 7/19 0 31/19 37/19 39/38 51/38 85/38 55/19 71/38 56/19 0
0 0 7/32 13/32 0 53/32 71/32 19/16 63/32 77/32 45/16 73/32 117/32 0
0 0 5/22 9/22 0 18/11 9/4 51/44 29/22 26/11 63/22 47/22 38/11 0
0 0 1/5 9/25 0 8/5 52/25 28/25 99/50 58/25 13/5 58/25 87/25 0
0 0 4/19 7/19 0 30/19 81/38 41/38 49/38 43/19 51/19 40/19 123/38 0
0 0 2/13 5/13 0 41/26 53/26 14/13 59/26 57/26 71/26 129/52 43/13 0
0 0 4/23 8/23 0 34/23 2 1 77/46 47/23 123/46 101/46 68/23 0
0 0 1/10 2/5 0 33/20 39/20 23/20 97/40 47/20 59/20 99/40 63/20 0
0 0 1/9 11/27 0 46/27 55/27 31/27 52/27 43/18 169/54 64/27 19/6 0
0 0 6/29 12/29 0 49/29 64/29 35/29 133/58 71/29 81/29 75/29 104/29 0
0 0 5/22 9/22 0 18/11 9/4 51/44 75/44 26/11 63/22 53/22 147/44 0
0 0 1/13 3/13 0 18/13 21/13 5/6 109/78 24/13 55/26 59/39 63/26 0
0 0 1/8 1/4 0 11/8 7/4 79/96 1 29/16 9/4 35/24 75/32 0
