0 0 0 3/4 35/24 11/16 35/32 55/32 65/32 109/48 133/48 385/96 0
0 0 0 13/16 67/48 21/32 49/48 41/24 47/24 209/96 43/16 91/24 0
0 0 0 11/16 37/24 43/64 71/64 107/64 395/192 449/192 263/96 781/192 0
0 0 0 15/16 49/48 17/32 13/16 269/192 49/32 161/96 205/96 35/12 0
0 0 0 7/8 13/12 17/32 27/32 281/192 99/64 167/96 107/48 73/24 0
0 0 0 7/8 7/6 19/32 11/12 305/192 329/192 181/96 229/96 157/48 0
0 0 0 13/16 59/48 19/32 91/96 77/48 85/48 187/96 119/48 163/48 0
0 0 0 11/14 17/14 37/28 33/28 9/7 169/84 75/28 121/42 55/12 0
0 0 0 5/7 1 31/28 25/28 15/14 45/28 9/4 16/7 15/4 0
0 0 0 12/17 16/17 64/51 40/51 37/34 161/102 118/51 116/51 365/102 0
0 0 0 3/4 13/12 1 11/12 1 37/24 55/24 25/12 89/24 0
0 0 0 5/9 4/3 13/9 4/3 13/9 19/9 26/9 28/9 44/9 0
0 0 0 1/2 1 11/10 9/10 11/10 3/2 11/5 11/5 18/5 0
0 0 0 1/2 11/12 29/24 19/24 9/8 35/24 53/24 13/6 27/8 0
0 0 0 5/9 10/9 1 8/9 1 13/9 20/9 2 32/9 0
0 0 0 4/9 4/3 13/9 4/3 13/9 13/6 26/9 28/9 89/18 0
0 0 0 5/12 7/6 29/24 1 5/4 7/4 59/24 29/12 4 0
0 0 0 6/13 14/13 17/13 23/26 33/26 22/13 32/13 31/13 49/13 0
0 0 0 5/13 16/13 55/52 49/52 57/52 85/52 123/52 55/26 197/52 0
0 0 0 1/3 11/9 4/3 11/9 4/3 107/54 8/3 26/9 9/2 0
0 0 0 3/10 6/5 5/4 11/10 13/10 11/6 51/20 13/5 41/10 0
0 0 0 5/12 7/6 17/12 25/24 11/8 67/36 8/3 8/3 49/12 0
0 0 0 2/9 11/9 41/36 13/12 43/36 187/108 89/36 43/18 139/36 0
0 0 0 9/11 1 12/11 1 14/11 17/11 24/11 24/11 39/11 0
0 0 0 4/5 9/10 21/20 17/20 13/10 29/20 41/20 21/10 63/20 0
0 0 0 11/13 14/13 27/26 25/26 15/13 3/2 29/13 2 93/26 0
0 0 0 7/10 1 11/10 1 13/10 3/2 11/5 11/5 71/20 0
0 0 0 7/10 9/10 21/20 17/20 13/10 7/5 41/20 21/10 63/20 0
0 0 0 8/11 12/11 23/22 21/22 13/11 16/11 49/22 2 39/11 0
0 0 0 8/13 16/13 33/26 15/13 3/2 24/13 67/26 33/13 107/26 0
0 0 0 2/3 7/6 5/4 25/24 37/24 43/24 5/2 5/2 23/6 0
0 0 0 9/16 5/4 73/64 67/64 83/64 109/64 157/64 71/32 249/64 0
0 0 0 4/9 4/3 25/18 4/3 29/18 55/27 17/6 26/9 40/9 0
0 0 0 3/5 13/10 7/5 5/4 17/10 61/30 14/5 29/10 43/10 0
0 0 0 1/3 4/3 49/36 47/36 53/36 211/108 101/36 49/18 155/36 0
0 0 0 8/9 1 7/6 19/18 41/27 91/54 41/18 67/27 7/2 0
0 0 0 7/9 1 7/6 19/18 41/27 44/27 41/18 67/27 7/2 0
0 0 0 7/9 10/9 23/18 7/6 91/54 50/27 5/2 73/27 23/6 0
0 0 0 2/3 10/9 23/18 7/6 44/27 11/6 5/2 73/27 23/6 0
0 0 0 3/4 7/6 3/2 31/24 11/8 145/72 11/4 53/18 167/36 0
0 0 0 7/11 10/11 15/11 23/22 25/22 35/22 26/11 26/11 42/11 0
0 0 0 7/12 5/6 5/3 23/24 9/8 19/12 31/12 29/12 91/24 0
0 0 0 5/9 11/9 14/9 25/18 3/2 37/18 26/9 28/9 29/6 0
0 0 0 4/9 8/9 4/3 19/18 7/6 3/2 7/3 7/3 67/18 0
0 0 0 2/5 4/5 3/2 19/20 23/20 29/20 12/5 23/10 71/20 0
0 0 0 4/9 11/9 14/9 25/18 3/2 19/9 26/9 28/9 44/9 0
0 0 0 3/10 9/10 27/20 21/20 23/20 31/20 47/20 23/10 15/4 0
0 0 0 3/10 4/5 31/20 19/20 23/20 3/2 49/20 23/10 18/5 0
0 0 0 1/3 10/9 13/9 23/18 25/18 52/27 8/3 26/9 40/9 0
0 0 0 2/9 8/9 23/18 19/18 7/6 83/54 41/18 7/3 65/18 0
0 0 0 3/10 9/10 31/20 21/20 5/4 49/30 51/20 5/2 19/5 0
0 0 0 8/11 10/11 13/11 23/22 27/22 3/2 24/11 24/11 7/2 0
0 0 0 2/3 7/9 11/9 17/18 11/9 25/18 19/9 19/9 19/6 0
0 0 0 3/5 9/10 6/5 21/20 5/4 29/20 11/5 11/5 7/2 0
0 0 0 5/9 7/9 11/9 17/18 11/9 4/3 19/9 19/9 19/6 0
0 0 0 1/2 1 31/24 9/8 4/3 13/8 19/8 7/3 15/4 0
0 0 0 1/2 9/10 27/20 21/20 27/20 31/20 47/20 23/10 7/2 0
0 0 0 1/3 1 23/18 7/6 4/3 89/54 43/18 22/9 67/18 0
0 0 0 4/9 1 25/18 7/6 13/9 46/27 5/2 23/9 34/9 0
0 0 0 7/9 8/9 11/9 19/18 38/27 85/54 20/9 64/27 61/18 0
0 0 0 2/3 8/9 11/9 19/18 38/27 41/27 20/9 64/27 61/18 0
0 0 0 2/3 1 4/3 7/6 85/54 47/27 22/9 70/27 67/18 0
0 0 0 5/9 1 4/3 7/6 41/27 31/18 22/9 70/27 67/18 0
0 0 0 1/2 7/10 8/5 53/60 59/60 4/3 12/5 31/15 13/4 0
0 0 0 1/3 2/3 13/9 47/54 53/54 65/54 20/9 53/27 55/18 0
0 0 0 2/9 2/3 3/2 47/54 53/54 34/27 41/18 53/27 28/9 0
0 0 0 2/9 7/9 3/2 53/54 59/54 38/27 43/18 59/27 10/3 0
