0 0 0 9/17 10/17 16/17 33/34 37/34 25/17 19/17 47/34 26/17 0
0 0 0 5/9 11/18 17/18 41/36 37/36 13/9 23/18 13/9 14/9 0
0 0 0 1/2 9/16 15/16 15/16 37/32 3/2 37/32 21/16 3/2 0
0 0 0 7/19 25/19 55/38 6/19 33/38 28/19 17/19 135/76 42/19 0
0 0 0 4/13 15/13 16/13 3/13 17/26 16/13 1 3/2 53/26 0
0 0 0 3/11 12/11 13/11 2/11 6/11 13/11 1 3/2 21/11 0
0 0 0 1/3 6/5 19/15 4/15 11/15 19/15 6/5 3/2 23/10 0
0 0 0 7/15 4/3 3/2 4/15 9/10 8/5 7/10 17/10 61/30 0
0 0 0 5/12 7/6 5/4 1/6 2/3 17/12 3/4 4/3 41/24 0
0 0 0 1/3 10/9 11/9 1/9 1/2 4/3 7/9 4/3 14/9 0
0 0 0 1/2 19/16 5/4 3/16 25/32 3/2 31/32 21/16 63/32 0
0 0 0 3/5 41/30 23/15 7/30 1 11/6 19/30 11/6 19/10 0
0 0 0 5/9 10/9 11/9 1/9 13/18 14/9 2/3 25/18 13/9 0
0 0 0 4/9 10/9 11/9 1/9 11/18 13/9 13/18 25/18 13/9 0
0 0 0 2/3 10/9 11/9 1/9 5/6 5/3 13/18 25/18 13/9 0
0 0 0 10/19 25/19 28/19 14/19 17/19 28/19 21/19 71/38 46/19 0
0 0 0 8/17 20/17 22/17 12/17 12/17 22/17 20/17 28/17 39/17 0
0 0 0 3/7 23/21 26/21 8/7 13/21 26/21 3/2 5/3 46/21 0
0 0 0 5/12 7/6 5/4 5/12 3/4 5/4 4/3 3/2 29/12 0
0 0 0 3/5 19/15 22/15 8/15 13/15 23/15 4/5 5/3 31/15 0
0 0 0 9/16 9/8 5/4 1/2 11/16 23/16 7/8 11/8 29/16 0
0 0 0 8/17 1 20/17 13/17 9/17 22/17 37/34 23/17 28/17 0
0 0 0 3/5 17/15 6/5 1/3 4/5 23/15 31/30 19/15 29/15 0
