0 0 0 1/5 1/10 1 19/10 7/20 9/20 13/20 11/10 17/20 13/10 0
0 0 0 3/4 7/32 15/16 41/32 49/96 13/16 29/32 119/96 121/96 59/32 0
0 0 0 13/16 5/32 17/16 3/2 2/3 7/8 15/16 17/12 145/96 31/16 0
0 0 0 11/14 9/28 13/14 33/28 17/42 6/7 27/28 7/6 103/84 47/28 0
0 0 0 13/15 7/30 16/15 7/5 26/45 14/15 29/30 121/90 133/90 53/30 0
0 0 0 9/14 3/14 6/7 37/28 11/28 5/7 11/14 31/28 29/28 45/28 0
0 0 0 9/13 2/13 1 21/13 7/13 10/13 21/26 17/13 33/26 22/13 0
0 0 0 9/13 4/13 11/13 31/26 4/13 10/13 11/13 27/26 27/26 19/13 0
0 0 0 10/13 3/13 1 19/13 6/13 11/13 11/13 16/13 33/26 20/13 0
0 0 0 11/18 5/18 7/9 55/36 5/18 2/3 29/36 7/6 31/36 61/36 0
0 0 0 9/14 5/14 11/14 5/4 3/14 5/7 6/7 29/28 25/28 10/7 0
0 0 0 8/11 7/44 21/22 61/44 19/33 17/22 93/88 173/132 169/132 23/11 0
0 0 0 7/9 5/36 19/18 14/9 19/27 5/6 73/72 157/108 163/108 73/36 0
0 0 0 11/18 1/6 8/9 53/36 4/9 2/3 17/18 43/36 37/36 67/36 0
0 0 0 9/14 1/7 1 12/7 4/7 5/7 25/28 19/14 5/4 25/14 0
0 0 0 13/23 5/23 18/23 73/46 15/46 14/23 21/23 55/46 39/46 85/46 0
0 0 0 1/2 1/6 5/6 5/4 1/3 2/3 2/3 11/12 11/12 11/8 0
0 0 0 1/2 1/10 1 8/5 9/20 7/10 13/20 11/10 11/10 7/5 0
0 0 0 7/12 1/4 5/6 7/6 7/24 3/4 3/4 11/12 1 4/3 0
0 0 0 7/11 2/11 1 16/11 9/22 9/11 8/11 12/11 13/11 15/11 0
0 0 0 3/7 1/7 6/7 19/14 9/28 4/7 3/4 13/14 11/14 41/28 0
0 0 0 2/5 1/10 1 17/10 9/20 3/5 7/10 11/10 1 7/5 0
0 0 0 2/5 1/10 1 17/10 2/5 13/20 3/5 11/10 1 13/10 0
0 0 0 6/11 2/11 1 17/11 4/11 17/22 15/22 12/11 12/11 14/11 0
0 0 0 3/10 1/10 1 9/5 2/5 11/20 13/20 11/10 9/10 13/10 0
0 0 0 1/10 7/10 11/20 11/10 1/10 3/10 7/10 9/10 4/5 3/2 0
0 0 0 1/10 7/10 3/4 3/2 1/10 3/10 7/10 11/10 9/10 8/5 0
0 0 0 1/7 6/7 79/168 19/21 1/14 13/42 6/7 67/84 67/84 19/14 0
0 0 0 2/15 13/15 23/36 56/45 1/15 13/45 13/15 17/18 38/45 7/5 0
0 0 0 1/10 3/5 1/2 11/10 1/10 3/10 3/5 4/5 7/10 13/10 0
0 0 0 1/10 3/5 7/10 3/2 1/10 3/10 3/5 1 4/5 7/5 0
0 0 0 2/13 10/13 35/78 73/78 1/13 1/3 10/13 29/39 29/39 16/13 0
0 0 0 1/7 11/14 53/84 109/84 1/14 13/42 11/14 19/21 67/84 9/7 0
