0 0 0 8/9 41/36 2/9 17/18 7/12 23/18 19/12 2 19/18 0
0 0 0 1/2 9/8 1/3 1 1/2 1 11/8 25/12 5/4 0
0 0 0 2/3 43/42 1/3 6/7 9/14 26/21 19/14 38/21 1 0
0 0 0 7/17 41/34 9/17 18/17 23/34 21/17 55/34 37/17 49/34 0
0 0 0 20/37 73/74 19/37 29/37 63/74 56/37 3/2 60/37 81/74 0
0 0 0 1/3 7/18 11/18 7/9 13/18 5/6 11/9 31/18 65/36 0
0 0 0 6/17 7/17 10/17 25/34 13/17 13/17 21/17 31/17 57/34 0
0 0 0 3/11 4/11 8/11 6/11 9/11 10/11 10/11 13/11 35/22 0
0 0 0 1/5 3/10 7/10 9/20 4/5 4/5 4/5 11/10 27/20 0
0 0 0 2/11 3/11 9/11 4/11 10/11 10/11 9/11 9/11 17/11 0
0 0 0 1/9 2/9 7/9 5/18 8/9 7/9 13/18 7/9 23/18 0
0 0 0 3/10 9/20 3/5 4/5 19/20 7/10 23/20 7/4 59/40 0
0 0 0 1/2 3/5 11/20 4/5 13/10 1 13/10 9/5 13/10 0
0 0 0 3/16 7/16 3/4 21/32 15/16 13/16 29/32 11/8 39/32 0
0 0 0 6/19 9/19 15/19 25/38 24/19 20/19 39/38 27/19 21/19 0
0 0 0 1/7 1/2 6/7 4/7 1 6/7 27/28 17/14 33/28 0
0 0 0 2/9 4/9 17/18 1/2 5/4 10/9 37/36 10/9 1 0
0 0 0 7/11 8/11 4/11 7/11 5/11 10/11 13/11 17/11 3/2 0
0 0 0 11/16 13/16 13/32 9/16 17/32 7/8 41/32 7/4 21/16 0
0 0 0 5/6 11/12 7/24 1/2 11/24 1 31/24 5/3 13/12 0
0 0 0 4/9 5/9 5/9 4/9 2/3 8/9 8/9 10/9 13/9 0
0 0 0 5/11 7/11 6/11 4/11 7/11 9/11 10/11 13/11 13/11 0
0 0 0 2/3 7/9 4/9 1/3 5/9 1 1 11/9 1 0
0 0 0 3/10 2/5 7/10 3/10 4/5 9/10 4/5 4/5 29/20 0
0 0 0 4/11 6/11 7/11 3/11 8/11 9/11 19/22 1 13/11 0
0 0 0 5/9 2/3 5/9 2/9 2/3 1 17/18 1 1 0
0 0 0 3/5 13/15 1/2 7/10 7/10 4/5 19/15 9/5 6/5 0
0 0 0 14/19 17/19 17/38 27/38 35/38 20/19 53/38 35/19 21/19 0
0 0 0 5/13 10/13 8/13 8/13 10/13 10/13 1 19/13 14/13 0
0 0 0 9/17 13/17 11/17 10/17 16/17 18/17 19/17 25/17 16/17 0
0 0 0 2/7 5/7 11/14 4/7 13/14 6/7 29/28 19/14 8/7 0
0 0 0 7/19 12/19 16/19 9/19 41/38 21/19 41/38 23/19 18/19 0
