0 0 0 11/21 20/21 15/7 23/21 83/42 55/42 97/42 7/3 41/14 0
0 0 0 4/9 8/9 35/18 41/36 59/36 5/4 9/4 43/18 25/9 0
0 0 0 2/3 11/12 3/2 17/24 17/12 7/6 19/12 7/4 17/8 0
0 0 0 7/13 11/13 20/13 12/13 17/13 15/13 23/13 27/13 29/13 0
0 0 0 12/19 1 44/19 21/19 41/19 53/38 97/38 44/19 117/38 0
0 0 0 4/5 1 3/2 3/5 7/5 5/4 33/20 3/2 41/20 0
0 0 0 1/2 11/14 31/14 31/28 2 37/28 17/7 16/7 41/14 0
0 0 0 7/15 4/5 29/15 11/10 8/5 37/30 34/15 34/15 8/3 0
0 0 0 5/9 2/3 4/3 11/18 11/9 19/18 13/9 13/9 16/9 0
0 0 0 4/7 11/14 12/7 27/28 10/7 37/28 2 31/14 33/14 0
0 0 0 9/16 7/8 37/16 9/8 17/8 11/8 83/32 37/16 49/16 0
0 0 0 2/3 7/9 4/3 5/9 11/9 10/9 3/2 4/3 16/9 0
0 0 0 1/2 29/28 12/7 1 45/28 39/28 51/28 15/7 37/14 0
0 0 0 3/11 10/11 18/11 25/22 31/22 29/22 41/22 26/11 29/11 0
0 0 0 2/3 25/24 19/12 7/8 3/2 17/12 5/3 2 59/24 0
0 0 0 2/5 9/10 3/2 1 13/10 13/10 17/10 11/5 12/5 0
0 0 0 7/9 7/6 5/3 7/9 14/9 3/2 11/6 5/3 22/9 0
0 0 0 8/9 7/6 14/9 2/3 13/9 3/2 31/18 14/9 41/18 0
0 0 0 8/9 1 11/9 17/27 10/9 10/9 37/27 37/27 91/54 0
0 0 0 4/5 1 7/5 41/45 7/6 37/30 76/45 17/9 92/45 0
0 0 0 9/10 1 6/5 17/30 11/10 23/20 169/120 37/30 5/3 0
0 0 0 4/5 9/10 13/10 7/10 6/5 6/5 7/5 3/2 37/20 0
0 0 0 5/7 13/14 10/7 13/14 33/28 5/4 47/28 27/14 29/14 0
0 0 0 8/9 1 4/3 11/18 11/9 23/18 3/2 4/3 11/6 0
0 0 0 2/3 7/9 4/3 2/3 11/9 7/6 13/9 13/9 16/9 0
0 0 0 13/18 8/9 5/3 37/36 49/36 13/9 71/36 20/9 7/3 0
0 0 0 7/9 8/9 4/3 11/18 11/9 11/9 3/2 4/3 16/9 0
0 0 0 8/11 21/22 15/11 9/11 14/11 15/11 16/11 19/11 47/22 0
0 0 0 7/12 11/12 4/3 11/12 9/8 31/24 37/24 23/12 25/12 0
0 0 0 8/9 19/18 4/3 11/18 11/9 25/18 3/2 4/3 35/18 0
