0 0 0 8/31 5/31 40/31 9/31 40/93 1307/1860 2171/1860 571/465 184/93 2851/1860 409/186 0
0 0 0 8/27 4/27 40/27 23/54 31/81 259/324 497/324 13/9 319/162 23/12 206/81 0
0 0 0 7/25 3/25 32/25 7/25 17/50 197/300 347/300 179/150 139/75 157/100 313/150 0
0 0 0 14/47 10/47 139/94 35/94 299/564 186/235 3911/2820 1423/940 1253/564 4561/2820 245/94 0
0 0 0 3/10 7/40 111/80 11/40 217/480 811/1200 2741/2400 3169/2400 1039/480 3331/2400 1103/480 0
0 0 0 1/4 1/6 11/8 89/144 31/72 151/144 161/96 3/2 271/144 659/288 47/18 0
0 0 0 2/9 5/27 34/27 37/81 40/81 149/162 151/108 227/162 313/162 325/162 190/81 0
0 0 0 3/11 2/11 29/22 3/11 21/44 15/22 14/11 13/11 295/132 63/44 68/33 0
0 0 0 1/4 3/20 13/10 1/4 2/5 73/120 5/4 67/60 21/10 57/40 113/60 0
0 0 0 4/13 5/26 35/26 7/26 1/2 107/156 33/26 17/13 94/39 71/52 347/156 0
0 0 0 1/5 7/30 41/30 37/90 7/12 17/20 139/90 119/90 101/45 683/360 377/180 0
0 0 0 7/27 7/27 35/27 29/54 56/81 151/162 119/81 131/81 343/162 307/162 11/4 0
0 0 0 6/23 5/23 25/23 9/23 43/69 52/69 145/138 181/138 269/138 205/138 305/138 0
0 0 0 3/11 2/11 14/11 25/44 37/66 113/132 3/2 69/44 127/66 87/44 173/66 0
0 0 0 5/22 2/11 1 9/22 29/44 8/11 47/44 61/44 81/44 18/11 95/44 0
0 0 0 12/37 10/37 105/74 35/74 311/444 389/444 155/111 745/444 1031/444 5/3 617/222 0
0 0 0 1/3 7/30 77/60 11/30 229/360 53/72 193/180 521/360 161/72 61/45 859/360 0
0 0 0 4/17 4/17 20/17 95/102 2/3 133/102 185/102 30/17 97/51 137/51 149/51 0
0 0 0 2/11 3/11 23/22 43/66 5/6 145/132 47/33 37/22 133/66 599/264 85/33 0
0 0 0 5/18 2/9 10/9 1/3 23/36 25/36 10/9 11/9 77/36 4/3 2 0
0 0 0 4/21 4/21 22/21 1/3 5/7 9/14 8/7 55/42 43/21 3/2 41/21 0
0 0 0 1/3 5/21 25/21 1/3 2/3 5/7 8/7 29/21 50/21 9/7 31/14 0
0 0 0 5/28 2/7 5/4 43/84 47/56 79/84 65/42 257/168 389/168 695/336 379/168 0
0 0 0 2/11 3/11 1 29/44 5/6 73/66 181/132 211/132 257/132 131/66 65/24 0
0 0 0 2/11 5/22 10/11 5/11 5/6 119/132 34/33 46/33 257/132 107/66 305/132 0
0 0 0 1/5 1/5 13/15 5/6 11/15 7/6 43/30 49/30 5/3 34/15 8/3 0
0 0 0 3/19 4/19 15/19 10/19 35/38 18/19 20/19 59/38 71/38 71/38 89/38 0
