0 0 3/8 0 3/16 5/4 25/32 27/32 11/8 23/16 59/32 7/4 47/16 0
0 0 10/23 0 6/23 63/46 107/138 131/138 407/276 403/276 193/92 134/69 70/23 0
0 0 2/11 0 2/11 12/11 19/22 19/22 3/2 35/22 23/11 20/11 35/11 0
0 0 1/2 0 2/5 57/40 7/8 13/20 9/8 23/20 7/5 3/2 49/20 0
0 0 10/19 0 6/19 55/38 33/38 27/38 45/38 24/19 27/19 29/19 49/19 0
0 0 11/20 0 1/4 59/40 7/8 3/4 93/80 103/80 29/20 8/5 103/40 0
0 0 1/2 0 3/8 13/8 13/12 3/4 3/2 11/12 2 7/4 17/6 0
0 0 7/13 0 4/13 21/13 1 10/13 21/13 11/13 55/26 22/13 75/26 0
0 0 24/41 0 33/82 1226/615 1217/1230 563/615 4571/2460 263/246 209/82 412/205 1984/615 0
0 0 1/2 0 4/11 18/11 12/11 17/22 41/22 10/11 26/11 19/11 35/11 0
0 0 15/26 0 9/26 87/52 55/52 59/78 197/156 23/26 22/13 62/39 5/2 0
0 0 7/23 0 7/23 29/23 37/46 9/23 28/23 21/23 35/23 30/23 107/46 0
0 0 4/17 0 4/17 20/17 12/17 6/17 20/17 12/17 26/17 19/17 71/34 0
0 0 2/9 0 2/9 25/18 145/216 19/54 133/108 71/108 41/24 257/216 25/12 0
0 0 5/19 0 5/19 23/19 29/38 7/19 53/38 29/38 65/38 43/38 89/38 0
0 0 3/14 0 3/14 8/7 3/4 3/7 31/28 15/14 19/14 17/14 9/4 0
0 0 2/13 0 2/13 14/13 17/26 11/26 27/26 11/13 35/26 1 51/26 0
0 0 1/10 0 1/10 1 8/15 23/60 49/60 41/60 5/4 11/12 8/5 0
0 0 3/17 0 3/17 19/17 13/17 1/2 25/17 35/34 59/34 39/34 87/34 0
0 0 1/6 0 1/6 13/12 3/4 1/2 13/12 7/6 17/12 11/8 7/3 0
0 0 1/10 0 1/10 1 7/10 11/20 1 1 29/20 5/4 21/10 0
0 0 1/11 0 1/11 1 41/66 16/33 113/132 109/132 59/44 73/66 39/22 0
0 0 1/10 0 1/10 1 4/5 13/20 6/5 6/5 17/10 29/20 5/2 0
0 0 8/21 0 8/21 11/7 23/21 2/3 3/2 6/7 2 5/3 58/21 0
0 0 1/3 0 1/3 14/9 19/18 2/3 55/36 7/9 37/18 29/18 49/18 0
0 0 7/22 0 7/22 47/22 283/264 23/33 113/66 49/66 215/88 455/264 123/44 0
0 0 7/19 0 7/19 30/19 21/19 13/19 65/38 16/19 42/19 31/19 56/19 0
0 0 1/7 0 1/7 8/7 13/21 2/7 6/7 1/2 7/6 5/7 41/28 0
0 0 1/12 0 1/12 13/12 77/144 5/18 17/24 29/72 161/144 101/144 89/72 0
0 0 3/17 0 3/17 20/17 23/34 5/17 39/34 19/34 143/102 25/34 61/34 0
0 0 2/15 0 2/15 17/15 29/45 23/60 14/15 7/10 113/90 5/6 17/10 0
0 0 1/11 0 1/11 12/11 37/66 49/132 8/11 19/33 79/66 26/33 46/33 0
0 0 3/20 0 3/20 23/20 29/40 7/16 53/40 17/20 191/120 19/20 89/40 0
0 0 1/10 0 1/10 11/10 3/4 23/40 19/20 19/20 29/20 6/5 2 0
0 0 1/11 0 1/11 12/11 2/3 67/132 107/132 103/132 59/44 35/33 37/22 0
0 0 1/10 0 1/10 11/10 17/20 27/40 23/20 23/20 17/10 7/5 12/5 0
0 0 1/4 0 1/4 3/2 47/48 5/8 41/32 5/8 85/48 21/16 9/4 0
0 0 4/17 0 4/17 35/17 215/204 37/51 25/17 31/51 449/204 311/204 245/102 0
0 0 5/18 0 5/18 3/2 1 11/18 53/36 2/3 103/54 23/18 22/9 0
0 0 1/13 0 1/13 14/13 11/20 53/195 19/30 151/390 833/780 539/780 443/390 0
